,Id,Nombre
915,2521,"yogur liquido ""tipo actimel"""
916,950,yogur liquido aromatizado sabor s/e
917,1160,yogur liquido con frutas s/e
918,952,yogur liquido entero con cereales
919,1133,yogur liquido natural azucarado
920,953,yogur bulgaro
921,2532,yogur desnatado aromatizado sabor s/e
922,955,yogur desnatado con cereales
923,2524,yogur desnatado con cereales manzana y ciruela
924,1135,yogur desnatado con cereza y frambuesa
925,2525,yogur desnatado con ciruela albaricoque y fibra
926,2526,yogur desnatado con fresa grosella y fibra
927,2527,yogur desnatado con frutas
928,1137,yogur desnatado con frutas del bosque
929,1140,yogur desnatado con frutas tropicales
930,1141,yogur desnatado con manzana
931,1144,yogur desnatado con melocoton y maracuya
932,2528,yogur desnatado con melocoton frambuesa y fibra
933,1149,yogur desnatado con piña y pomelo
934,2530,yogur desnatado sabor natural
935,2531,yogur desnatado sabor natural azucarado
936,1158,yogur desnatado sabor vainilla
937,1131,yogur enriquecido con frutas
938,1143,yogur enriquecido natural
939,1145,yogur enriquecido natural azucarado
940,1130,yogur enriquecido natural con nata
941,1150,yogur enriquecido sabor s/e
942,2533,yogur entero con cereales y fresas
943,1159,yogur entero con fresas
944,2534,yogur entero con frutas del bosque
945,1155,yogur liquido desnatado natural
946,2535,yogur liquido entero con fresas
947,2536,yogur liquido entero con frutas
948,2537,yogur liquido entero sabor fresa
949,2538,yogur liquido entero sabor fresa y platano
950,2539,yogur liquido entero sabor frutas del bosque
951,2540,yogur liquido entero sabor piña y coco
952,2639,zamburiñas
953,2424,zanahoria cruda
954,1091,zumo de grosella negra
955,1090,zumo de grosella roja
956,1089,zumo de lima envasado
957,937,zumo de limon fresco
958,1081,zumo de mango
959,2467,zumo de manzana
960,2468,zumo de naranja
961,2469,zumo de piña
962,1068,zumo de piña y uva
963,1079,zumo de pomelo envasado
964,2248,zumo de tomate fresco
965,2365,zumo de uva
966,791,zumo de uva y melocoton
967,2252,zumo de zanahoria fresco
968,3521,carne
969,6124,aceite
970,6324,huevo
971,6521,pollo
